Day,Time,Holiday,Currency,Web,Title,Actual,Previous,Forecast
"Tuesday, January 1, 2019",,,,,,,,
,All Day,Holiday,United States - New Year's Day,,,,,
,15:30,,USD,https://www.investing.com/economic-calendar/all-car-sales-886,All Car Sales,5.13M,5.27M,
,15:30,,USD,https://www.investing.com/economic-calendar/all-truck-sales-1437,All Truck Sales,11.25M,12.33M,
"Wednesday, January 2, 2019",,,,,,,,
,09:55,,USD,https://www.investing.com/economic-calendar/redbook-655,Redbook (MoM),0.6%,0.1%,
,09:55,,USD,https://www.investing.com/economic-calendar/redbook-911,Redbook (YoY),9.3%,7.8%,
,11:30,,USD,https://www.investing.com/economic-calendar/dallas-fed-services-revenues-1444,Dallas Fed Services Revenues (Dec),10.1,21.4,
,11:30,,USD,https://www.investing.com/economic-calendar/texas-services-sector-outlook-1519,Texas Services Sector Outlook (Dec),-5.0,11.4,
,16:30,,USD,https://www.investing.com/economic-calendar/fed's-balance-sheet-2145,Fed's Balance Sheet,"4,058.38B","4,075.64B",
"Thursday, January 3, 2019",,,,,,,,
,08:00,,USD,https://www.investing.com/economic-calendar/mba-30-year-mortgage-rate-1042,MBA 30-Year Mortgage Rate,4.84%,4.94%,
,08:00,,USD,https://www.investing.com/economic-calendar/mba-mortgage-applications-380,MBA Mortgage Applications (WoW),-8.5%,-5.8%,
,08:00,,USD,https://www.investing.com/economic-calendar/mba-purchase-index-1494,MBA Purchase Index,219.0,238.6,
,08:00,,USD,https://www.investing.com/economic-calendar/mortgage-market-index-1427,Mortgage Market Index,293.8,325.9,
,08:00,,USD,https://www.investing.com/economic-calendar/mortgage-refinance-index-1428,Mortgage Refinance Index,729.9,832.2,
,08:30,,USD,https://www.investing.com/economic-calendar/challenger-job-cuts-888,Challenger Job Cuts (Dec),43.9K,53.1K,
,08:30,,USD,https://www.investing.com/economic-calendar/challenger-job-cuts-333,Challenger Job Cuts (YoY),35.3%,53.1%,
